code,entry_date,exit_signal_date,type,entry_close,exit_open_next,ret_pct,exit_day_close_vs_stop_pct,exit_day_ret_pct
ADA-USDT,2020-01-21,2020-02-16,stop_real,0.0460,0.0614,33.5289,-0.7669,-4.3573
ADA-USDT,2020-05-19,2020-05-28,stop_fantasma,0.0568,0.0649,14.4090,14.6050,17.9394
ADA-USDT,2020-05-30,2020-06-11,stop_real,0.0769,0.0753,-2.1324,-1.2140,-9.9641
ADA-USDT,2020-07-01,2020-07-07,stop_fantasma,0.0968,0.1176,21.5164,12.0744,11.9102
ADA-USDT,2020-07-08,2020-07-10,stop_real,0.1299,0.1184,-8.8509,2.7389,-4.4908
ADA-USDT,2020-07-25,2020-08-02,stop_real,0.1436,0.1338,-6.8305,4.6295,-7.1825
ADA-USDT,2020-11-20,2020-11-21,stop_fantasma,0.1183,0.1333,12.7410,13.5717,12.7325
ADA-USDT,2020-11-22,2020-11-26,stop_real,0.1460,0.1384,-5.2332,-4.3655,-10.5345
ADA-USDT,2020-12-29,2021-01-05,stop_fantasma,0.1907,0.2589,35.7791,20.4751,14.8482
ADA-USDT,2021-01-06,2021-01-07,stop_real,0.3331,0.2992,-10.1834,6.4035,-10.1504
ADA-USDT,2021-01-17,2021-01-22,stop_real,0.3808,0.3484,-8.5056,21.6234,13.2597
ADA-USDT,2021-02-01,2021-02-05,stop_fantasma,0.4088,0.5387,31.7986,22.6526,22.7227
ADA-USDT,2021-02-06,2021-02-10,stop_fantasma,0.6344,0.9404,48.2268,17.7725,33.1680
ADA-USDT,2021-02-20,2021-02-22,stop_real,1.1157,1.0973,-1.6492,23.2615,-0.1738
ADA-USDT,2021-02-26,2021-03-13,stop_real,1.2430,1.1002,-11.4937,11.4112,6.5819
ADA-USDT,2021-05-06,2021-05-13,stop_fantasma,1.6491,1.9289,16.9668,21.9373,22.9514
ADA-USDT,2021-05-14,2021-05-19,stop_real,2.0069,1.4676,-26.8723,-22.1230,-26.8167
ADA-USDT,2021-08-10,2021-08-13,stop_fantasma,1.6780,2.1386,27.4493,11.9510,16.7103
ADA-USDT,2021-08-14,2021-08-17,stop_real,2.1878,1.9240,-12.0578,-1.2235,-7.1208
ADA-USDT,2021-08-19,2021-08-26,stop_real,2.4411,2.5290,3.6008,0.0475,-7.7035
BNB-USDT,2019-02-09,2019-02-14,stop_real,8.9051,8.7636,-1.5890,4.1048,-1.6251
